Open5GS daemon v2.7.0-84-g94bd68a

02/22 11:49:15.090: [app] INFO: Configuration: '/root/open5gs/install/etc/open5gs/udr.yaml' (../lib/app/ogs-init.c:130)
02/22 11:49:15.090: [app] INFO: File Logging: '/root/open5gs/install/var/log/open5gs/udr.log' (../lib/app/ogs-init.c:133)
02/22 11:49:15.122: [dbi] INFO: MongoDB URI: 'mongodb://localhost/open5gs' (../lib/dbi/ogs-mongoc.c:130)
02/22 11:49:15.122: [sbi] INFO: NF Service [nudr-dr] (../lib/sbi/context.c:1812)
02/22 11:49:15.123: [sbi] INFO: nghttp2_server() [http://127.0.0.20]:7777 (../lib/sbi/nghttp2-server.c:414)
02/22 11:49:15.123: [app] INFO: UDR initialize...done (../src/udr/app.c:31)
02/22 11:49:15.124: [sbi] INFO: [67173b16-d178-41ee-a9f7-d78433c68c00] NF registered [Heartbeat:10s] (../lib/sbi/nf-sm.c:221)
02/22 11:49:15.124: [sbi] INFO: [671c31a2-d178-41ee-9082-7191f3c54296] Subscription created until 2024-02-23T11:49:15.124578+00:00 [duration:86400,validity:86399.999771,patch:43199.999885] (../lib/sbi/nnrf-handler.c:710)
02/22 12:28:31.224: [dbi] INFO: [imsi-999700000000097] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.225: [udr] WARNING: [imsi-999700000000097] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.235: [dbi] INFO: [imsi-999700000000084] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.235: [udr] WARNING: [imsi-999700000000084] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.236: [dbi] INFO: [imsi-999700000000095] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.236: [udr] WARNING: [imsi-999700000000095] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.241: [dbi] INFO: [imsi-999700000000090] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.241: [udr] WARNING: [imsi-999700000000090] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.322: [dbi] INFO: [imsi-999700000000094] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.322: [udr] WARNING: [imsi-999700000000094] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.323: [dbi] INFO: [imsi-999700000000072] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.323: [udr] WARNING: [imsi-999700000000072] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.340: [dbi] INFO: [imsi-999700000000098] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.340: [udr] WARNING: [imsi-999700000000098] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.340: [dbi] INFO: [imsi-999700000000065] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.340: [udr] WARNING: [imsi-999700000000065] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.341: [dbi] INFO: [imsi-999700000000087] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.341: [udr] WARNING: [imsi-999700000000087] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.341: [dbi] INFO: [imsi-999700000000056] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.341: [udr] WARNING: [imsi-999700000000056] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.349: [dbi] INFO: [imsi-999700000000069] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.349: [udr] WARNING: [imsi-999700000000069] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.350: [dbi] INFO: [imsi-999700000000044] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.350: [udr] WARNING: [imsi-999700000000044] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.350: [dbi] INFO: [imsi-999700000000076] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.350: [udr] WARNING: [imsi-999700000000076] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.350: [dbi] INFO: [imsi-999700000000100] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.350: [udr] WARNING: [imsi-999700000000100] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.350: [dbi] INFO: [imsi-999700000000096] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.350: [udr] WARNING: [imsi-999700000000096] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.352: [dbi] INFO: [imsi-999700000000082] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.353: [udr] WARNING: [imsi-999700000000082] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.353: [dbi] INFO: [imsi-999700000000006] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.353: [udr] WARNING: [imsi-999700000000006] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.354: [dbi] INFO: [imsi-999700000000023] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.354: [udr] WARNING: [imsi-999700000000023] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.354: [dbi] INFO: [imsi-999700000000088] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.354: [udr] WARNING: [imsi-999700000000088] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.355: [dbi] INFO: [imsi-999700000000061] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.355: [udr] WARNING: [imsi-999700000000061] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.355: [dbi] INFO: [imsi-999700000000027] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.355: [udr] WARNING: [imsi-999700000000027] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.355: [dbi] INFO: [imsi-999700000000089] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.355: [udr] WARNING: [imsi-999700000000089] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.364: [dbi] INFO: [imsi-999700000000059] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.364: [udr] WARNING: [imsi-999700000000059] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.364: [dbi] INFO: [imsi-999700000000085] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.364: [udr] WARNING: [imsi-999700000000085] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.369: [dbi] INFO: [imsi-999700000000021] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.369: [udr] WARNING: [imsi-999700000000021] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.370: [dbi] INFO: [imsi-999700000000083] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.370: [udr] WARNING: [imsi-999700000000083] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.379: [dbi] INFO: [imsi-999700000000092] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.379: [udr] WARNING: [imsi-999700000000092] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.380: [dbi] INFO: [imsi-999700000000017] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.380: [udr] WARNING: [imsi-999700000000017] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.381: [dbi] INFO: [imsi-999700000000073] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.381: [udr] WARNING: [imsi-999700000000073] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.382: [dbi] INFO: [imsi-999700000000039] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.382: [udr] WARNING: [imsi-999700000000039] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.387: [dbi] INFO: [imsi-999700000000071] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.387: [udr] WARNING: [imsi-999700000000071] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.388: [dbi] INFO: [imsi-999700000000016] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.388: [udr] WARNING: [imsi-999700000000016] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.390: [dbi] INFO: [imsi-999700000000080] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.390: [udr] WARNING: [imsi-999700000000080] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.394: [dbi] INFO: [imsi-999700000000007] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.394: [udr] WARNING: [imsi-999700000000007] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.398: [dbi] INFO: [imsi-999700000000074] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.398: [udr] WARNING: [imsi-999700000000074] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.406: [dbi] INFO: [imsi-999700000000019] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.406: [udr] WARNING: [imsi-999700000000019] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.412: [dbi] INFO: [imsi-999700000000012] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.412: [udr] WARNING: [imsi-999700000000012] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.412: [dbi] INFO: [imsi-999700000000024] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.412: [udr] WARNING: [imsi-999700000000024] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.416: [dbi] INFO: [imsi-999700000000004] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.416: [udr] WARNING: [imsi-999700000000004] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.416: [dbi] INFO: [imsi-999700000000040] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.416: [udr] WARNING: [imsi-999700000000040] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.418: [dbi] INFO: [imsi-999700000000078] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.418: [udr] WARNING: [imsi-999700000000078] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.418: [dbi] INFO: [imsi-999700000000003] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.418: [udr] WARNING: [imsi-999700000000003] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.419: [dbi] INFO: [imsi-999700000000037] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.419: [udr] WARNING: [imsi-999700000000037] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.419: [dbi] INFO: [imsi-999700000000067] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.419: [udr] WARNING: [imsi-999700000000067] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.422: [dbi] INFO: [imsi-999700000000025] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.422: [udr] WARNING: [imsi-999700000000025] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.431: [dbi] INFO: [imsi-999700000000063] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.431: [udr] WARNING: [imsi-999700000000063] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.437: [dbi] INFO: [imsi-999700000000018] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.437: [udr] WARNING: [imsi-999700000000018] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.438: [dbi] INFO: [imsi-999700000000086] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.438: [udr] WARNING: [imsi-999700000000086] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.444: [dbi] INFO: [imsi-999700000000079] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.444: [udr] WARNING: [imsi-999700000000079] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.445: [dbi] INFO: [imsi-999700000000068] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.445: [udr] WARNING: [imsi-999700000000068] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.480: [dbi] INFO: [imsi-999700000000020] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.480: [udr] WARNING: [imsi-999700000000020] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.492: [dbi] INFO: [imsi-999700000000070] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.493: [udr] WARNING: [imsi-999700000000070] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.512: [dbi] INFO: [imsi-999700000000015] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.512: [udr] WARNING: [imsi-999700000000015] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.547: [dbi] INFO: [imsi-999700000000050] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.547: [udr] WARNING: [imsi-999700000000050] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.547: [dbi] INFO: [imsi-999700000000048] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.547: [udr] WARNING: [imsi-999700000000048] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.549: [dbi] INFO: [imsi-999700000000045] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.549: [udr] WARNING: [imsi-999700000000045] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.549: [dbi] INFO: [imsi-999700000000030] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.549: [udr] WARNING: [imsi-999700000000030] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.550: [dbi] INFO: [imsi-999700000000053] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.550: [udr] WARNING: [imsi-999700000000053] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
02/22 12:28:31.551: [dbi] INFO: [imsi-999700000000031] Cannot find IMSI in DB (../lib/dbi/subscription.c:56)
02/22 12:28:31.551: [udr] WARNING: [imsi-999700000000031] Cannot find SUPI in DB (../src/udr/nudr-handler.c:68)
